Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
                0.00    0.00       5/5           void std::sort<nd*, bool (*)(nd const&, nd const&)>(nd*, nd*, bool (*)(nd const&, nd const&)) [135]
                0.00    0.00       5/5           void std::sort<int*>(int*, int*) [136]
-----------------------------------------------
                             195710971             find(int, int, int) [2]
                3.05    2.88 19962026/19962026     main [1]
[2]     32.1    3.05    2.88 19962026+195710971 find(int, int, int) [2]
                1.54    0.00 9981013/9981013     get_rmx(int, long long, int) [6]
                1.34    0.00 9981013/9981013     get_lmx(int, long long, int) [7]
                             195710971             find(int, int, int) [2]
-----------------------------------------------
                                                 <spontaneous>
[3]     26.3    4.86    0.00                 _mcount_private [3]
-----------------------------------------------
                             98035319             insert(int, int, int) [4]
                4.16    0.00 10001023/10001023     main [1]
[4]     22.5    4.16    0.00 10001023+98035319 insert(int, int, int) [4]
                             98035319             insert(int, int, int) [4]
-----------------------------------------------
                             223301437             get_sum(int, int, int) [5]
                2.82    0.00 9947554/9947554     main [1]
[5]     15.3    2.82    0.00 9947554+223301437 get_sum(int, int, int) [5]
                             223301437             get_sum(int, int, int) [5]
-----------------------------------------------
                             97810246             get_rmx(int, long long, int) [6]
                1.54    0.00 9981013/9981013     find(int, int, int) [2]
[6]      8.3    1.54    0.00 9981013+97810246 get_rmx(int, long long, int) [6]
                             97810246             get_rmx(int, long long, int) [6]
-----------------------------------------------
                             97900725             get_lmx(int, long long, int) [7]
